Type of Entity,Category,Entity Name,Nickname,Location,Website,Number of Employees,Key People,Twitter Handle,Number of Twitter Followers,Affiliations,Related To,Collaboration,Funding Received,Year Funding Received,Investment Received,Year Investment Received,Revenue and Expenses (Budget),Year of Revenue and Expenses (Budget),Funding Given,Year of Funding Given,Global or Local Relevance
Non-Profit,General,Code for America,Code for America,"San Francisco, CA",http://codeforamerica.org/,52,"Jen Pahlka, Shona Brown, Nigel Jacob, John Lilly, Stacy Donohue, Andrew McLaughlin, Tim O'Reilly, Eric Ries, Clay Johnson",@codeforamerica,27724,null,"BetaNYC, Civic Commons",OpenPlans,Omidyar Network:null; John S. and James L. Knight Foundation:null; Google:1500000; 1st Source Bank:null; Accela:null; Akonadi Foundation:null; Akron Metropolitan Area Transportation Study:null; AT&T:null; Blue Ridge Foundation New York:null; Cerner Corporation:null; City of Akron:null; Community Foundation of St. Joseph County:null; Conservancy of Cuyahoga Valley National Park:null; Ewing Marion Kauffman Foundation:null; Google Fiber:null; H&R Block Foundation:null; Hall Family Foundation:null; Hallmark Cards Inc.:null; Judd Leighton Foundation:null; Kapor Center for Social Impact:null; Laura and John Arnold Foundation:null; Louisville Bar Foundation:null; Memorial Health System:null; Metro Parks:null; Neighborly:null; Ohio and Erie Canalway Coalition:null; Pandora Media:null; Philanthropic Ventures Foundation:null; Rita Allen Foundation:null; Spring Nextel:null; St. Joseph Regional Medical Center:null; Teachers Credit Union:null; The Downtown Project:null; Vodafone Americas Foundation:null; William H. Donner Foundation:null; Blude Ridge Foundation New York:null; California Healthcare Foundation:null; Cascadilla Fund:null; Cutts Foundation: null; James Irvine Foundation:null; Reid Hoffman Foundation:null; Kaphan Foundation:null; Bluehost with the support of Hari Ravichandran:null; Ashoka Foundation:null; City of Sacramento:null; Edwards Family Fund:null; Elbaz Family Foundation:null; Robert Glushko and Pamela Samuelson:null; Goldhirsh Foundation:null; Harik Fund:null; William and Weslie Janeway:null; Vaughn Koch:null; Dana Le and Rob Mee:null; John D. and Catherine T. MacArthur Foundation:null; Sundar PIchai:null; Geoffrey and Andrea Ralsoton:null; Redlich Horowitz Foundation:null; Shustek Dubinsky Family Philanthropic Fund:null; Hal Varian:null; Eric Ries:null; Craig Newmark Philanthropic Fund:null; Microsoft Corporation:null; Total:2175855,2011,null,null,Revenue:2961713; Expenses:3003561,2011,334000,2012,1
Non-Profit,General,John S. and James L. Knight Foundation,Knight Fdn,"Miami, FL",http://www.knightfoundation.org,67,"Alberto Ibarguen, Robert Briggs",@knightfdn,72380,null,"INNovation Fund, Tech for Engagement Initiative",null,Total:5225536,2012,null,null,Revenue:113570166; Expenses:130255476,2012,The Governance Lab at NYU:null; Berkman Center for Internet and Society:null; New America Foundation:null; Brookings Institution:null; Sunlight Foundation:null; Personal Democracy Media:null; GovLab:null; W3C:null; Open Data Institute:null; Open Knowledge Foundation:null; OpenPlans:620000; Total:92493104,2012,1
Government,General,The White House ,White House ,"Washington, DC",http://www.whitehouse.gov/,468,"Barack Obama, Bill Clinton, Hillary Clinton, Todd Park, John Paul Farmer, Jen Pahlka, Beth Noveck, Andrew McLaughlin, Tom Kalil, Cristin Dorgelo, Kumar Garg, Brian Forde, Nick Sinai, Nicole Wong, Tom Power, Aneesh Chopra, Katie Dowd, Hollie Russon-Gilman, Adam Becker, Vidya Spandana",@WhiteHouse,5148716,null,"Office of Science and Technology Policy, Government",null,null,null,null,null,Budget:710753000,2013,null,null,1
Non-Profit,General,Berkman Center for Internet and Society ,Berkman Ctr,"Cambridge, MA",http://cyber.law.harvard.edu,185,"Yochai Benkler, Susan Crawford, John Deighton, William Fisher, Urs Gasser, Charles Nesson, Felix Oberholzer-Gee, John Palfrey, Jeffrey Schnapp, Yochai Benkler, Susan Crawford, John Deighton, William Fisher, Urs Gasser, Charles Nesson, Felix Oberholzer-Gee, John Palfrey, Jeffrey Schnapp, Stuart Shieber, Mark Wu, Jonathan Zittrain, Ethan Zuckerman, danah boyd, Clay Shirky, John Perry Barlow, Bruce Schneier",@berkmancenter,33528,null,"Harvard University, Harvard Law School",Nieman Foundation,Arcadia Fund:null; Peter Baldwin and Lisbet Rausing:null; Ellen Berkman:null; Ford Foundation:null; Google:null; Stella P. Holt Foundation:null; InterCulture Foundation:null; International Development Research Centre:null; Ewing Marion Kauffman Foundation:null; John S. and James L. Knight Foundation:null; John D. and Catherine T. MacArthur Foundation:null; McCormick Foundation:null; Microsoft Corporation:null; National Science Foundation:null; Craig Newmark:null; Omidyar Network:null; Open Society Foundation:null; Alfred P. Sloan Foundation:null; USAID:null; Department of State:null,null,null,null,Budget:4000000-5000000 ,2010,null,null,1
Non-Profit,General,New America,New America,"Washington, DC",http://www.newamerica.org,174,"Anne-Marie Slaughter, Kevin Bankston, Alissa Black, Hollie Russon-Gilman, Laurenellen McCann, Andrew McLaughlin, Georgia Bullen, Kevin Bankston, Michael Calabrese, Alan Davidson, Thomas Gideon, Chhaya Kapadia, Rebecca MacKinnon, Joshua Breitbart, Seeta Gangadharan, Lorelei Kelly, Benjamin Lennett, Bruce Schneier, Sascha Meinrath, Eric Schmidt",@NewAmerica,17497,null,"Open Technology Institute, New America Foundation's California Civic Innovation",null,Google:null; Microsoft Corporation:null; John D. and Catherine T. MacArthur Foundation:null; Ford Foundation:null; Government:null; Harvard University:null; John D. Rockefeller Foundation:null; Total:21814326,2012,null,null,Revenue:22258222; Expenses:21634831,2012,null,null,1
Non-Profit,General,Brookings Institution,Brookings,"Washington, DC",http://www.brookings.edu,563,"Strobe Talbot, Peter Singer, Darrell West, Allan Friedman, John Villasenor, William Antholis, Steven Bennett, Kimberly Churches, Kemal Dervis, Ona Alston Dosunmu, Ted Gayer, Bruce Katz, David Nassar, Ted Piccone, Leigh Morris Sloane, Stewart Uretsky, Darrell West",@BrookingsInst,115637,null,"Center for 21st Century Security and Intelligence, Center for Technology Innovation",null,null,2012,null,null,Revenue:100602993; Expenses:96726329,2012,null,null,1
Non-Profit,Data and Transparency,Sunlight Foundation,Sunlight Fdn,"Washington, DC",http://sunlightfoundation.com,67,"Mike Klein, Ellen Miller, Laurenellen McCann, Stacy Donohue, Andrew Rasiej",@SunFoundation,35188,null,null,null,"John S. and James L. Knight Foundation:750000; Omidyar Network:500000; William and Flora Hewlett Foundation:250000; Ford Foundation:150000; Chang K. Park Foundation:100000; Park Foundation:100000; Rita Allen Foundation:1000000; Global Integrity:77625; Cards Against Humanity:50000; Kaphan Foundation:50000; Robert R. McCormick Foundation:50000; Global Integrity:43125; Investigative News Network:38156; craigslist Charitable Fund:25000; Transparency International - Secretariat:20415; 300 gifts under 250:10751; United Way of the Bay Area:10000; UX Pin:8994; Fidelity Charitable Gift Fund Helianthus Fund:7500; Silicon Valley Community Foundation Edwards Family Fund:5000; Participant Media:3000; BeeKeeper Group:2500; GitHub:2500; Granicus:2500; Socrata:2500; Susan & Ford Schumann Foundation:2000; Democracy Works:1985; Andrew Cohen:1000; Andrew McLaughlin:1000; Timothy Gholson:1000; Data Transparency Coalition:750; Barbara Friedman:500; Frank Beckman:500; Marvin Gottlieb:500; The George Washington University:500; O'Reilly Media Inc.:365.62; Citizens for Responsibility & Ethics in Washington:250; Fund for Constitutional Government:250; Henry Stiles:250; Ontodia, Inc.:250; OpenGov, Inc.:250; ProPublica:250; Quandl:250; Reporters Committee for Freedom of the Press:250; Robert Hanham:250; Scott Phillips:250",2014,null,null,Revenue:7912829; Expenses:7521833,2012,538403,2012,1
For-Profit,General,Personal Democracy Media,Personal Democracy Media,"New York, NY",https://personaldemocracy.com,8,"Micah Sifry, Andrew Rasiej",@pdmteam,7913,null,"Personal Democracy Forum, Personal Democracy Center",null,null,null,Microsoft Corporation:null; Facebook:null; Ford Foundation:null; Google:null; GitHub:null; Bloomberg Philanthropies:null; Mozilla:null; Omidyar Network:null; ThoughtWorks:null; NYU Interactive Telecommunications Program:null; Harvard Kennedy School Shorenstein Center on Media Politics and Public Policy:null; Change.org:null; tumblr.:null; Mobile Commons:null; GovDeliver:null; echoditto:null; democracy.com:null; UN Foundation:null,2014,null,null,null,null,1
Non-Profit,21st Century Jobs and Opportunities,New York Tech Meetup,NYTM,"New York, NY",http://nytm.org,22,"Andrew Rasiej, Micah Sifry, Jessica Lawrence",@NYTM,15403,null,null,null,null,null,Gotham Ventures:null; Wilson Sonsini Goodrich & Rosati:null; Google:null; Microsoft BizSpark:null; Bloomberg:null; tumblr:null; mlbam:null; TekServe:null; American Express:null; Thomson Reuters:null; Morgan Stanley:null; The Flatiron School:null; Microsoft:null,null,Revenue:371267; Expenses:388329,2012,null,null,0
Non-Profit,Data and Transparency,World Wide Web Consortium,W3C,"United Kingdom; Cambridge, MA",http://www.w3.org,86,"Tim Berners-Lee, Jeffrey Jaffe",@w3c,91670,null,null,Microsoft Corporation; Google,Collaborative Open Market to Place Objects at your Service:null; Decentralised Citizen Engagement Technologies:null; GloballTV:null; HTML5Apps:null; Mediascape Privacy and Identity Management in Europe for Life:null; Share-PSI 2.0:null; SmartOpenData:null; TPWG Chair Support:null; W3C Fellow:null; W3Conf Developer Conference:null; WAI Core:null; WAI Sponsors:null; WAI-DEV:null; Web Accessibility Initiative - Cooperation Framework for Guidance on Advanced Technologies Evaluation Methodologies and Research Agenda Setting to Support eAccessibility:null; WebPlatform Stewards:null; ICANN:null; Ford Foundation:null,2013,Intel XDK:null; ICANN:null; John S. and James L. Knight Foundation:null,null,null,null,null,null,1
Non-Profit,General,The Governance Lab at NYU,GovLab,"New York, NY",http://wagner.nyu.edu/centers/govlab,26,Beth Noveck,@TheGovLab,4531,null,"New York University, Robert F. Wagner Graduate School of Public Service",MIT Media Lab; Open Government Partnership,John D. and Catherine T. MacArthur Foundation:null; John S. and James L. Knight Foundation:null; Google:null,null,null,null,null,null,null,null,1
Non-Profit,General,John D. and Catherine T. MacArthur Foundation,MacArthur Fdn,"Chicago, IL",http://www.macfound.org,47,Robert Gallucci,@macfound,47368,null,Research Network on Opening Governance,null,null,null,null,null,Revenue:454513951; Expenses:297907427,2012,The Governance Lab at NYU:null; Berkman Center for Internet and Society:400000; New America Foundation:200000; Ushahidi:100000; Electronic Frontier Foundation:600000; Total:236557004,2012,1
For-Profit,Data and Transparency,Palantir,Palantir,"Palo Alto, CA",http://www.palantir.com,1000,"Alexander Karp, Peter Thiel, Joe Lonsdale, Stephen Cohen, Nathan Gettings",@PalantirTech,11008,null,Philanthropy Engineering,Google; Department of State; The White House,null,null,null,null,null,null,null,null,1
For-Profit,General,Microsoft Corporation,Microsoft,"Redmond, WA",http://www.microsoft.com,114104,"Bill Gates, Paul Allen, Steve Ballmer, Satya Nadella, Craig Mundie, danah boyd, Brad Smith, Dan'l Lewin, Annmarie Levins, Cathy Wissink, Adam Hecktman, Scott Mauvais, John Paul Farmer",@Microsoft,5173641,null,"Microsoft Research, Technology and Civic Engagement, Technology and Civic Innovation, CityNext, Corporate Citizenship, YouthSpark, BizSpark, Microsoft Ventures, MS Open Tech",null,null,null,null,null,Revenue:773100000,2013,New York Tech Meetup; Personal Democracy Media; The White House,null,1
For-Profit,General,Google,Google,"Mountain View, CA",https://www.google.com,"52,069","Larry Page, Sergey Brin, Eric Schmidt, Jared Cohen, Ginny Hunt",@google,8784620,null,"Google Ideas, Google Civic Innovation, Google.org",National League of Cities University Leadership Summit; Palantir; Pew Research Center; Pew Charitable Trusts,null,null,null,null,Budget:585700000,2013,The Governance Lab at NYU; Personal Democracy Forum; ,null,1
Non-Profit,Smart and Resilient Cities,MoveOn.org,MoveOn.org,"Berkeley, CA",http://front.moveon.org,29,Justin Ruben,@MoveOn,119181,null,null,null,Total:4146950,2011,null,null,Revenue:4267294; Expenses:3662490,2011,468975,2011,1
Non-Profit,"21st Century Jobs and Opportunities, Smart and Resilient Cities",New York City Economic Development Corporation,NYCEDC,"New York, NY",http://www.nycedc.com,540,"Kyle Kimball, Benjamin Branham, Kim Vaccari, Eric Gertler, James Katz",@NYCEDC,18693,null,"BigApps NYC, New York's Next Top Makers",Microsoft Corporation; NYC BigApps,Total:497497165,2011,null,null,Revenue:664016417; Expenses:648209240,2011,69401,2011,0
For-Profit,Data and Transparency,Socrata,Socrata ,"Seattle, WA; Washington, DC; Berkshire, United Kingdom",http://www.socrata.com,13,Kevin Merritt,@socrata,3427,null,null,Microsoft Corporation; Deloitte; Social Solutions; Safe Software; Civic Insight; The White House,null,null,OpenView Venture Partners:null; Frazier Technology Ventures:null; Morgenthaler Ventures:null,null,null,null,null,null,1
Non-Profit,21st Century Jobs and Opportunities,CivicLab,CivicLab,"Chicago, IL",http://www.civiclab.us/,16,Tom Tresser,@CivicLabChicago,838,null,null,Investigative News Network; Chicago Votes; The Young Invincibles; Moms United Against Violence and Incarceration; Move to Amend; The New Organizing Institute; The Roosevelt Institute; The Chicago Area Fair Housing Alliance; Restore the Fourth; The TIF Illumination Project,Voqal Fund:23000; Individuals:23301,null,null,null,null,null,null,null,0
Non-Profit,General,Ford Foundation,Ford Fdn,"New York, NY",http://www.fordfoundation.org/ ,94,"Irene Hirano Inouye, Darren Walker, Kofi Appenteng, Tim Berners-Lee, Martin Eakes, Amy C. Falls, Juliet V. Garcia, J. Clifford Hudson, Robert S. Kaplan, Lourdes Lopez, Thurgood Marshall Jr., N. R. Narayana Murthy, Peter A. Nadosy, Cecile RIchards, Darren Walker, Tim Berners-Lee",@FordFoundation,42424,null,null,null,null,null,null,null,Revenue:453789109; Expenses:616826363,2011,Brookings Institution:800000; Electronic Frontier Foundation:100000; Ushahidi:500000; Total:985986563,2011,1
Non-Profit,General,John D. Rockefeller Foundation,Rockefeller Fdn,"New York, NY",http://www.rockefellerfoundation.org,214,"David Rockefeller Jr., Judith Rodin",@RockefellerFdn,54105,null,null,null,null,null,null,null,Revenue:298878207; Expenses:199357310,2012,Harvard Kennedy School Ash Center for Democratic Governance and Innovation:684500; New York University:null; Code for America:200000; Total:51359984,2012,1
Non-Profit,General,NYU Interactive Telecommunications Program,NYU ITP,"New York, NY",http://itp.nyu.edu/itp/ ,26,"Dan O'Sullivan, Clay Shirky",@ITP_NYU,3327,null,New York University,null,null,null,null,null,null,null,null,null,0
Non-Profit,Data and Transparency,Open Data Institute,Open Data Institute,"London, London, United Kingdom",http://theodi.org,32,"Tim Berners-Lee, Nigel Shadbolt, Gavin Starks",@UKODI,10401,null,null,Quanta Computer; Telefonica; Virgin Media; Deloitte; Arup; EyeHub; Mydex Data Services; RateSetter,NTT DATA UK Ltd:null; Rackspace:null; Socrata:null; Which?:null; BPE Lawyers:null; 100%Open:null; 4sl Group:null; AIMES Grid Services:null; Amor Group:null; BES Manchester Business School:null; Bright Blue:null; Cogent Analytics:null; Crowdmixx Labs:null; Datactics:null; Dialogue by Design:null; Doorda:null; EcoDesk:null; FlyingBinary:null; Horizon Digital Economy Research Institute University of Nottingham:null; IMAGES&Co:null; import.io:null; JC Analytics:null; Dr Mark Cote King's College London:null; Lokku:null; Matrix Knowledge:null; Oasis Loss Modelling Framework:null; OCSI:null; Royal Statistical Society:null; ScraperWiki:null; Sibdocity:null; Snips:null; Systems in Context Ltd:null; The Audience Agency:null; The Server Labs:null; theblueballroom:null; Omidyar Network:800847,2013,null,null,Income:12131981,2013,null,null,1
Non-Profit,Data and Transparency,Open Knowledge Foundation,Open Knowledge Fdn,"Cambridge, Cambridgeshire, United Kingdom",http://us.okfn.org,38,"Laura James, Karin Christiansen",@OKFN,20944,null,null,null,John S. and James L. Knight Foundation:null; Hewlett Foundation:null; Omidyar Network:null; Sloan Foundation:null; Shuttleworth:null; National Endowment for Democracy:null,null,null,null,null,null,null,null,1
Non-Profit,General,MIT Media Lab,MIT Media Lab,"Cambridge, MA",http://www.media.mit.edu,512,"Joi Ito, Ethan Zuckerman",@medialab,211433,null,null,The Asahi Shimbun Company; BT; DENSO; Dentsu-Aegis Network Ltd.; Digital Garage; Hisensee Co. Ltd; Jaguar Land Rover; LG Electronics Inc.; Panasonic Corporation; RECRUIT; Samsung Electronics Co. Ltd.; SingTel; TCL ultimedia; Toshiba Corporation; 21st Century Fox; APX Labs; Bank of America; Benesse Corporation; Berwind; Bloomberg L.P.; Cisco Systems; Inc.; Colgate-Palmolive; Comcast; Culture Convenience Club Co. LTD.; Deloitte LP; DirecTV; eBay; EMC Corporaton; Fidelity Center for Applied Technology; Fleury; FutureWei Technologies; Inc./Huawei; GlaxoSmithKline; Globo Comunicacao e Participacoes; Google:null; Gucci; Hallmark Cards; Hasbro; Hearst Corporation; Hyundai Motor Company; ICICI Bank; IDEO; Infocast Limited; Intel; Intuit Inc.; Kozo Keikaku Engineering; The LEGO Group; Lockheed Martin; Microsoft Corporation; Mitsui & Co; Monex Group; Mori Building Co.; Ltd.; Natura; NEC Corporation; New Balance Athletic Shoe; Inc.; News Corporation; Nokia Corporation; Northrop Grumman; Olympus Corporation; Otsuka American Pharmaceutical; Inc.; Pearson Inc.; QUALCOMM Incorporated; RR Donnelley; Saudi Aramco; Shell; Starcom Mediavest Group; State Farm; State of Minas Gerais; Steelcase Inc. Lx.; TED; Telecom Italia; TOPPAN Printing Co.; Ltd.; Toyota Motor Corporation; Trends Media Co.; Ltd.; Verizon; Volkswagen Group of America; Inc.,"Cisco Systems Inc.:null; Intel:null; NEC Corporation:null; Shell:null; Volkswagen Group of America Inc.:null; Alfred P. Sloan Foundation:null; Allen Institute for Brain Science:null; Andrew W. Mellon Foundation:null; Austrian Institute of Technology:null; Boston University / NIH NSF:null; Brigham and Women's Hospital / NIH:null; Center for Integration of Medicine and Innovative Technology:null; Damon Runyon Cancer Research Foundation:null; Dartmouth College / Office of Naval Research:null; Defense Advanced Research Projects Agency:null; Ferro Solutions Inc. / NIH:null; German Ministry of Education and Research:null; Harvard University:null; Ford Foundation:null; Intel Foundation:null; Kadokawa Culture Promotion Foundation:null; John S. and James L. Knight Foundation:null; Lincoln Laboratory:null; John D. and Catherine T. MacArthur Foundation:null; Ministry for the Economy Development and Tourism of Chile:null; NASA:null; National Collegiate Inventors and Innovators Alliance:null; National Institutes of Health:null; National Science Foundation:null; New York Stem Cell Foundation:null; Office of Naval Research:null; Open Society Foundations:null; Rehabilitation Institute of Chicago / US Army:null; Rensselaer Polytechnic Institute / US Army:null; SRI International / US Army:null; The Charles Stark Draper Laboratory, Inc:null; The Institution of Engineering and Technology:null; The Joyce Foundation:null; The Simons Foundation:null; The Wellcome Trust:null; University of Cambridge / EC Marie Curie Actions:null; Uniersity of Hohenheim / EC Marie Curie Actions:null; US Army:null; US Veterans Administration:null; Verizon Foundation:null; Armand and Celeste Bartos:null; Benesse Corporation:null; BT:null; Joseph Chung:null; CSK Holdings Corporation:null; Alexander W. Dreyfoos Jr.:null; Informatix Inc.:null; The LEGO Group:null; Dorothy Lemelson:null; LG Electronics Inc.:null; MasterCard International:null; Misawa Homes:null; Motorola Inc.:null; Masanori Nagashima 1976:null; NEC Corporation:null; Isao Okawa:null; Schlumberger:null; Jeffrey L. Silverman 1968:null; Sony Corporation:null; Swatch AG:null; Telmex:null; Toshiba Corporation:null; Philippe Villers:null",2014,null,null,Budget:45000000,null,null,null,1
Non-Profit,General,Harvard Kennedy School Center for Democratic Governance and Innovation,Ash Ctr,"Cambridge, MA",http://www.ash.harvard.edu,100,"Anthony Saich, Marty Mauzy, Mary Graham, Hollie Russon-Gilman",@HarvardAsh,2396,null,"Harvard University, Harvard Kennedy School",null,Amway-China:null; The Andrew W. Mellon Foundation:null; The Annie E. Casey Foundation:null; The Asia Center Harvard University:null; The Atlantic Philanthropies:null; Bank Rakyat Indonesia:null; Biogen Idec:null; Booz Allen Hamilton:null; Charoen Pokphand Group:null; The Chrisopher Reynolds Foundation:null; Daikin Industries Ltd.:null; Dow Jones & Co.:null; Fannie Mae Foundation:null; The Folger Fund:null; Ford Foundation:null; Futurist Group:null; The Hefner Collection:null; IBM:null; John S. and James L. Knight Foundation:null; Kansai Electric Power Co. Inc.:null; The Kansai Keizai Doyukai:null; Kawasaki Heavy Industries Ltd.:null; Living Cities:null; Ministry of Foreign Affairs Republic of China (Taiwan):null; New World China Enterprises Project Ltd.:null; Nippon Life Insurance Co.:null; Noblis Inc.:null; Novartis:null; Obayashi Corporation:null; Osaka Gas Company:null; Rajawali Foundation:null; John D. Rockefeller Foundation:null; Roy and Lila Ash:null; Smith Richardson Foundation:null; The Starr Foundation:null; State Street Corporation:null; Sumitomo Electric Industries Ltd.:null; Sumitomo Metal Industries Ltd.:null; Suntory Ltd.:null; Takenaka Corporation:null; United States Department of State:null; West Japan Railway Company:null; Whitehall Corporation:null,null,null,null,null,null,null,null,1
Government,General,New York City Mayor's Office,NYC Mayor's Office,"New York, NY",http://www1.nyc.gov/nyc-resources/categories/civic-services/general-information/index.page,null,"Bill de Blasio, Jeff Merritt, Matt Klein, Kristen Titus, Robert Richardson",@nycgov,186859,null,"Mayor's Office of Data Analytics, NYC Digital",null,null,null,null,null,Revenue:75012; Expenses:75012,2014,null,null,0
Individual,General,Alex Howard,Alex Howard,"Washington, DC",http://e-pluribusunum.com,null,null,@digiphile,210601,Tow Center; Columbia University; Harvard Kennedy School Ash Center for Democratic Governance and Innovation; O'Reilly Media; TechTarget,null,null,null,null,null,null,null,null,null,null,1
For-Profit,Smart and Resilient Cities,Votizen,Votizen,"San Francisco, CA",http://www.votizen.com,2,"Semil Shah, Matt Snider, Sean Parker",@votizen,13503,null,null,null,null,null,A-Grade Investments:null; Guy Oseary:null; Troy Carter:null; Ashton Kutcher:null; Sean Parker:null; AFSquare:null; Founders Fund:null; 500 Startups:null; Founder Collective:null; Eric Ries:null; SV Angel:null; Steve Blank:null; Shervin Pishevar:null; Tom Shileds:null; Felicis Ventures:null; Keith Rabois:null; David Cowan:null; Mark Goines:null; Total:2250000,"2010, 2012",null,null,null,null,0
For-Profit,Smart and Resilient Cities,Democracy.com,Democracy.com,"New York, NY",http://democracy.com,21,"Talmage Cooley, Heidi Sieck",@DemocracyCom,959,null,null,null,null,null,Fort Point Angels:null; Oleg Uritsky:null; Total: 2000000,"2013, 2014",null,null,null,null,0
For-Profit,Smart and Resilient Cities,Nextdoor,Nextdoor,"San Francisco, CA",https://nextdoor.com,94,"Nirav Tolia, Prakash Janakiraman, Sarah Leary, Dan Clancy",@Nextdoor,8601,null,null,null,null,null,SV Angel:null; Greylock Partners:null; Benchmark:null; Pinnacle Ventures:null; Shasta Ventures:null; Allen & Company:null; Duff Ackerman & Goodrich:null; Bezos Expeditions:null; DAG Ventures:null; Greylock Partners:null; Google:null; Kleiner Perkins Caufield & Byers:null; Tiger Global Management:null; Comcast Ventures:null; Greylock Partners:null; Total:100200000,"2012, 2013",null,null,null,null,1
Individual,21st Century Jobs and Opportunities,Eric Ries,Eric Ries,"San Francisco, CA",http://www.startuplessonslearned.com,null,null,@ericries,178630,The White House; O'Reilly Media; Code for America,null,null,null,null,null,null,null,null,null,null,1
For-Profit,General,O'Reilly Media,O'Reilly Media,"Sebastopol, CA",http://oreilly.com,null,"Tim O'Reilly, Jesse Robbins, William Janeway",@OReillyMedia,70688,null,null,Makezine; Maker Faire,null,null,null,null,null,null,null,null,1
Government,General,18F,18F,null,https://18f.gsa.gov,null,"John Paul Farmer, Haley Van Dyck, Steven VanRoekel, Todd Park, Greg Godbout, Hillary Hartley, Joe Polastre, Aaron Snow, Rebecca Williams",@18F,2220,General Services Administration,null,The White House; Presidential Innovation Fellows Program,null,null,null,null,null,null,null,null,1
Non-Profit,General,Omidyar Network,Omidyar Network,"Redwood City, CA",http://www.omidyar.com,65,"Stacy Donohue, Pierre Omidyar",@OmidyarNetwork,28140,null,null,null,Total:4941593,2012,null,null,Income:29085569,2012,"Alliance for Affordable Internet:null; Amicus:null; Change.org:null; couchsurfing:null; dosomething.org:1500000; GMSA:3650000; healthkart.com:null; Linden Lab:4941593; meetup:5876450; mimoni:null;NationBuilder:null; Neoteny Labs:null; Quikr:null; Range Networks:null; Sovern:null; African Leadership Academy:1500000; Akshara Foundation:950000; Anudip Foundation:650000; Aspiring Minds:null; Bridge International Academies:null; EnglishHelper:null; Kalibrr:null; RLabs:465000; Teach for India:2500000; Tree House:null; BRAC:8275000; Center for Financial Services Innovation:null; Cignifi:null; Consultative Group to Assist the Poor:1500000; Core Innovation Capital:null; Elevar Equity:null25000000; IntelleGrow:null; Kiva:5000000; LeapFrog Investments:null; Lenddo:null; MFX Solutions:9300000; MicroEnsure:null; MicroSave:2000000; Off Grid Electric:null; Prosper:null; Rev:null; SOLIDUS Investment Fund:3700000; Zoona:3700000; Africa Check:250000; African Media Initiative:1700000; Association for Democratic Reforms:3310000; Center for Global Development:1500000; Center for Research and Teaching in Economics:215000; Center on Democracy, Development and the Rule of Law:1035000; Code for America:250000; ePanstwo Foundation:200000; Fundacion Ciudadano Inteligente:500000; Fundar:211000; Global Integrity:2400000; Global Voices:1200000; IMCO:202500; Instituto Cidade Democratic:202500; International Budget Partnerships:null; Janaagraha:3000000; Livity Africa:186000; Media Development Investment Fund:2000000; Meu Rio:475000; Mideast Youth:600000; mySociety:3475000; New Citizen (Centre UA):335000; ONE Campaign:750000; Open Data Institute:750000; Open Government Partnership:1480000; Open Knowledge Foundation:750000; Praekelt Foundation:825000; Project on Government Oversight:1000000; Publica:120000; Sahara Reporters:450000; SeeClickFix:null; Sunlight Foundation:8000000; The XYZ Show:500000; Transparency and Accountability Initiative:583500; Tumml:300000; Ushahidi:1400000; Versa:null; Foundation for Ecological Security:2100000; Institute for Liberty and Democracy:4960000; Landesa:16700000; MicroBuild:null; Red Tierras:685000; Artemisia:null; Endeavor:null; Global Impact Investing Network: 2440000; IGNIA:10000000; Nesta:null; The Bridgespan Group:3500000; d.light design:null; iMerit:null; Song:6000000; Bridges Ventures:null",null,1
Individual,General,Alec Ross,Alec Ross,null,https://www.facebook.com/alec.ross1,null,null,@AlecJRoss,371566,Department of State,null,null,null,null,null,null,null,null,null,null,1
Government,General,Department of State,State Dept,"Washington, DC",http://www.state.gov,13000,"Hillary Clinton, Jared Cohen, Alec Ross",@StateDept,1012484,null,eDiplomacy,null,null,null,null,null,Budget:50832861,2012,null,null,1
Individual,General,Hillary Clinton,Hillary Clinton,"New York, NY",http://www.clintonfoundation.org,null,null,@HillaryClinton,1736529,Department of State; Clinton Foundation; The White House,null,null,null,null,null,null,null,null,null,null,1
Non-Profit,General,Clinton Foundation,Clinton Fdn,"Little Rock, AR; New York, NY",http://www.clintonfoundation.org,675,"Bill Clinton, Hillary Clinton, Chelsea Clinton, Katie Dowd",@ClintonFdn,403013,null,null,null,Total:51456352,2012,null,null,Revenue:54712950; Expenses:58751898,2012,8091488,2012,1
Non-Profit,Data and Transparency,Data & Society Research Institute,Data & Society,"New York, NY",http://www.datasociety.net,24,"danah boyd, Anil Dash, John Palfrey, John Borthwick, Catherine Bracy, Brad Burnham, Susan Crawford, Edward Felten, Tarleton Gillespie, Nick Grossman, Joichi Ito, Hilary Mason, Andrew McLaughlin, Deirdre Mulligan, Alondra Nelson, Andrew Rasiej, Gina Neff, Jason Schultz, Clay Shirky, Micah Sifry, Shamina Singh, Baratunde Thurston, Janet A. Vertesi, Christina xu, Ethan Zuckerman",@data_society,6494,null,null,null,National Science Foundation:null; Microsoft Corporation:null; Sloan Foundation:null; John D. and Catherine T. MacArthur Foundation:null; Ford Foundation:null; Microsoft Research:null; Robert Wood Johnson Foundation:null,"2013, 2014",null,null,null,null,null,null,1
