Type of Entity,Category,Entity Name,Nickname,Location,Website,Number of Employees,Key People,Twitter Handle,Number of Twitter Followers,Affiliations,Related To,Collaboration,Funding Received,Year Funding Received,Investment Received,Year Investment Received,Revenue and Expenses (Budget),Year of Revenue and Expenses (Budget),Funding Given,Year of Funding Given,Global or Local Relevance
Non-Profit,General,Built in Chicago,Built in Chicago,"Chicago, IL",http://www.builtinchicago.org/,null,"Maria Christopoulos Katris, Adam Calica, Carlin Sack",@BuiltInChicago,18700,null,null,null,null,null,null,null,null,null,null,null,0
Non-Profit,General,Economic Club of Chicago,Economic Club of Chicago,"Chicago, IL",http://www.econclubchi.org/,8,"Donna Zarcone, Kelsey Carlson, Katie Esposito, Cheryl Eugenio, Amy Harris, Erika Jerzy, Andrew Leasure, Megan Nash, Emily Whelchel",@EconClubChi,183,null,null,null,null,null,null,null,Revenue:2824048;Expenses:2430659,2012,null,null,0
Government,21st Century Jobs and Opportunities,Illinois Workforce Investment Board,Illinois Workforce Investment Board,"Chicago, IL",http://www.illinoisworknet.com/,null,"Adam Pollet, John Rico",@ILworkNet,1719,null,"Illinois Governor's Office, Illinois Department of Commerce and Economic Opportunity",null,null,null,null,null,null,null,null,null,0
Government,21st Century Jobs and Opportunities,Illinois Department of Commerce and Economic Opportunity,Illinois Dept of Commerce,"Springfield, IL",http://www.illinois.gov/dceo/Pages/default.aspxq,null,Adam Pollet,@IllinoisDCEO,2129,null,Illinois Governor's Office,null,null,null,null,null,null,null,null,null,0
Government,General,Argonne National Laboratory,Argonne National Laboratory,"Argonne, IL",http://www.anl.gov/,null,"Peter Littlewood, Alfred Sattelberger, Paul Kearns, Mark Peters, Rick Stevens, Stephen Streiffer, Henry Weerts",@argonne,29731,null,U.S. Department of Energy,null,null,null,null,null,null,null,null,null,0
Government,General,Fermilab,Fermilab,"Batavia, IL",http://www.fnal.gov/,null,Nigel Lockyer,@Fermilab,612,null,U.S. Department of Energy,University of Chicago; Universities Research Association Inc.,null,null,null,null,null,null,null,null,0
Non-Profit,Smart and Resilient Cities,Chicago Public Library Foundation,Chicago Public Library Fdn,"Chicago, IL",http://www.cplfoundation.org/site/PageServer?pagename=deploymenthome,6,"Rhona Frazin, Catherine Brown, Beth Zachara, Patty Siebart, Nancy Lynn, Veronica Brown, Cheryl Walker, Jennifer Adams",@chipublib,11692,null,Chicago Public Library,Chicago Public Library,Oprah Winfrey Fund:null; Albert Pick Jr. Fund:null; Allstate:null; Institute of Museum and Library Services:null; Kraft:null; BMO Harris Bank:null; Kirkland and Ellis LLP:null; Polk Bros. Foundation:null; Microsoft:null; Advanced Resources LLC:null; Ann and Robert H. Lurie Foundation:null; Bank of America Foundation:null; Bank of America Illinois:null; The Barker Welfare Foundation:null; BlueCross BlueShield of Illinois:null; The Brinson Foundation:null; Leo Burnett Company:null; Chicago Blackhawks:null; The Chicago Community Trust:null; Chicago Sun-Times:null; Chicago Title & Trust Company Foundation:null; ComEd:null; The Comer Foundation:null; The Crown Family:null; Cubs Care a fund of the McCormick Foundation:null; RR Donnelley:null; RR Donnelley Foundation:null; Richard H. Driehaus Foundation:null; Exelon Corporation:null; Grosvenor Capital Management L.P.:null; Helen M. Harrison Foundation:null; Kurtis Productions:null; Macy's Foundation:null; JP Morgan Chase Foundation:null; The Elizabeth Morse Charitable Trust:null; The Elizabeth Morse Genius Charitable Trust:null; Motorola Solutions Foundation:null; Mozilla Foundation:null; The Northern Trust Company:null; Peoples Gas:null; RPM Advertising Inc.:null; Dr. Scholl Foundation:null; Skadden Arps Slate Meagher & Flom:null; Smart Chicago Collaborative:null; Target Corporation:null; United Airlines:null; Arbor Private Investments Company:null; Baker & McKenzie:null; Baker Tilly Virchow Krause LLP:null; The Boeing Company:null; Citadel Foundation:null; Clarity Partners LLC:null; The Donnelley Foundation:null; Ernst & Young LLP:null; Hyatt Hotels:null; Illinois Tool Works Inc.:null; Ingram Book Company/Library Services:null; Integrys Energy Group Inc.:null; JMB Realty:null; K&L Gates LLP:null; Lloyd A. Fry Foundation:null; Mesirow Financial:null; Molex Incorporated:null; Mondelez International:null; Motorola Mobility Foundation:null; PNC Bank:null; The PrivateBank:null; Robinwood Consulting:null; Tribune Company:null; Troutman Sanders LLP:null; U.S. Equities Realty:null; Ventas:null; William Blair & Company:null,2014,null,null,Revenue:3543723; Expenses:5239315,2012,null,null,0
For-Profit,General,Andreessen Horowitz,A16Z,"Menlo Park, CA",http://a16z.com/,31,"Marc Andreessen, Ben Horowitz, Peter Levine, John O'Farrell, Scott Weiss, Jeff Jordan, Margit Wennmachers, Benedict Evans",@a16z,105911,null,null,null,null,null,null,null,Revenue:unknown; Expenses:unknown,null,Airbnb:unknown,2011,1
Individual,General,Ashton Kutcher,Ashton Kutcher,"Los Angeles, CA",http://en.wikipedia.org/wiki/Ashton_Kutcher,null,null,@aplusk,16324869,null,null,A-Grade Investments; Airbnb,null,null,null,null,Revenue:unknown; Expenses:unknown,null,Airbnb:unknown,2012,1
For-Profit,21st Century Jobs and Opportunities,Causes,Causes,"San Francisco, CA",https://www.causes.com/,41,"Sean Parker, Matt Mahan, Miche Capone, Christopher Chan, Jimmy Kittiyachavalit, Jason Purtorti, Matt Wilson, James Windon, Joe Green",@causes,129423,null,null,Brigade; Philotic Inc.; Votizen,null,null,Amidzad Partners Hadi & Ali Partovi Scott Banister Founders Fund:2400000; Founders Fund:5000000; Founders Fund New Enterprise Associates:9000000,"2007, 2008, 2010",Revenue:unknown; Expenses:unknown,null,null,null,1
For-Profit,Smart and Resilient Cities,Change.org,Change.org,"San Francisco, CA",https://www.change.org/,150,"Ben Rattray, Jennifer Dulsky, Mark Dimas, Amanda Levy, Danny Moldovan, Matthew Slutsky, Darren Haas, Stephanie Hsiung, Benjamin Joffe-Walt, David Hanrahan, Brenton Gieser",@Change,865982,null,null,null,null,null,"Summit Action Fund;null; Omidyar Network:null; Pierre Omidyar:null; Emagen Investment Group Inc.:null; Anthony Saleh:null; Nasir ""Nas"" Jones:15000000",2013,Revenue:unknown; Expenses:unknown,null,null,null,1
For-Profit,General,Github,Github,"San Francisco, CA",https://government.github.com/,212,"Chris Wanstrath, PJ Hyett, Scott Chacon, Ryan Tomayko, Kyle Neath, Vlado Herman, Brian Doll, Tom Preston-Werner",@github,333020,null,null,City and County of San Franciso,null,null,Andreessen Horowitz:null; SV Angel:null; Total:100000000,2012,Revenue:unknown; Expenses:unknown,null,null,null,1
For-Profit,Data and Transparency,OpenGov,OpenGov,"Mountain View, CA",https://www.opengov.com/,20,"Zac Bookman, Nate Levine, Mike Rosengarten, Dakin Sloss",@OpenGovInc,876,null,null,City of Palo Alto; Town of Atherton; City of Mountain View; City of Los Angeles,null,null,Formation 8:null; Thrive Capital:null; Andreessen Horowitz:null; SG VC:15000000,"2014, 2013, 2012",Revenue:unknown; Expenses:unknown,null,null,null,1
Individual,General,Pierre Omidyar,Pierre Omidyar,"Honolulu, HI",http://en.wikipedia.org/wiki/Pierre_Omidyar,null,null,@pierre,479831,Omidyar Network; Change.org,null,null,null,null,null,null,Revenue:unknown; Expenses:unknown,null,Change.org:15000000,2013,1
For-Profit,21st Century Jobs and Opportunities,Razoo,Razoo,"San Francisco, CA",http://www.razoo.com/,30,"Bo Lotinsky, Patrick Lardin, Bryce Melvin, Alex Kouts, Ghazal Vaghedi",@razoo,13629,null,null,Razoo Foundation,null,null,null,null,Revenue:unknown; Expenses:unknown,null,null,null,0
Non-Profit,21st Century Jobs and Opportunities,ReAllocate,ReAllocate,"San Francisco, CA",http://reallocate.org/,6,"Mike North, Timothy Lipton, Steve Outtrim, Jeff Diehl, Bill Landers, Roy Hardiman",@reallocate,356,null,null,null,Individuals:29000; Foundations:11650,2012,null,null,Revenue:13651; Expenses:9569,2011,null,null,0
Individual,General,Ron Conway,Ron Conway,"San Francisco, CA",http://en.wikipedia.org/wiki/Ron_Conway,null,null,@RonConway,63416,null,null,Google; Rally.org; Votizen; FWD.us; Brigade Media,null,null,null,null,Revenue:unknown; Expenses:unknown,null,Brigade Media:unknown; Rally.org:unknown; Votizen:unknown; FWD.us:unknown,2014,1
Non-Profit,Smart and Resilient Cities,San Francisco Citizens Initiative for Technology and Innovation,SF.CITI,"San Francisco, CA",http://www.sfciti.com/,9,"Jeremy L. Wallenberg, Erika Jones-Clary, Anna Avoyan",@sfciti,3625,null,null,Jawbone; Salesforce; AT&T; Google; Tagged; Zynga; Microsoft Corporation; Accela,null,null,null,null,Revenue:unknown; Expenses:unknown,null,null,null,0
Individual,General,Sean Parker,Sean Parker,"San Francisco, CA",http://en.wikipedia.org/wiki/Sean_Parker,null,null,@sparker,419900,Causes; Brigade Media; Votizen; the Founders Fund,null,null,null,null,null,null,Revenue:unknown; Expenses:unknown,null,Votizen:unknown; Brigade Media:9300000,"2010, 2014",1
Government,Smart and Resilient Cities,San Francisco Mayor's Office of Civic Innovation ,San Francisco Mayor's Office of Civic Innovation ,"San Francisco, CA",http://innovatesf.com/,6,"Jay Nath, Shannon Spanhake, Rebecca Center Foster, Krista Canellakis, Jake Levitas, Jason Lally, Monique Woodard",@SFMOCI,2403,null,City and County of San Francisco,San Francisco Citizens Initiative for Technology and Innovation; Code for America; San Francisco Planning and Urban Research Association; Gray Area Foundation for the Arts,null,null,null,null,Revenue:unknown; Expenses:unknown,null,null,null,0
Government,General,Chicago Mayor's Office,Chicago Mayor's Office,"Chicago, IL",http://www.cityofchicago.org/city/en/depts/mayor.html,null,null,@ChicagosMayor,48707,null,null,null,null,null,null,null,null,null,null,null,0
Non-Profit,21st Century Jobs and Opportunities,Mozilla Foundation,Mozilla Fdn,"Mountain View, CA",https://www.mozilla.org/en-US/foundation/,22,"Mitchell Baker, Brian Behlendorf, Joi Ito, Bob Lisbonne, Cathy Davidson, Ronaldo Lemos",@mozilla,47210,null,Mozilla,null,Total:5805972,2012,null,null,Revenue:9046361; Expenses:9822851,2012,1154357,2012,1
Government,General,Boston Mayor's Office,Boston Mayor's Office,"Boston, MA",http://www.cityofboston.gov/,null,"Marty Walsh, Nigel Jacobs",@marty_walsh,40804,null,New Urban Mechanics,null,null,null,null,null,27000000,2015,null,null,0
Non-Profit,Smart and Resilient Cities,Dudley Street Neighborhood Initiative,Dudley Street Neighborhood Initiative,"Boston, MA",http://dsni.org,45,null,null,null,null,null,New Urban Mechanics; Emerson Engagement Labs,Total:1987865,2013,null,null,Revenue: 2061206; Expenses: 2038724,2013,334500,2013,0
Non-Profit,Smart and Resilient Cities,Code for Boston,Code for Boston,"Boston, MA",http://www.meetup.com/Code-for-Boston/,null,null,@codeforboston,807,null,Code for America,null,null,null,null,null,null,null,null,null,0
